row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
contact,21.0,99.512821,29.358974,4.0,99.51,29.36,323.3476150160004,4.3839,334.7083352620002,0.13586153846153842,0.13832307692307694,0.13314615384615383,0.1325692307692308,0.22001538461538464,0.2099769230769231,0.15312307692307695,0.15053076923076927,0.1344692307692308,0.14112307692307693,0.24010769230769233,0.24944615384615382,0.1605,0.16322307692307694,0.18902307692307693,0.18383076923076924,335.8564707989999
baseline,22.0,51.923077,21.017094,1.0,51.92,21.02,341.03310778500054,0.0,,0.13590000000000002,0.13845384615384618,0.13269230769230772,0.13394615384615388,0.22044615384615382,0.21028461538461538,0.15483846153846154,0.15333076923076921,0.13607692307692304,0.14700000000000002,0.2462230769230769,0.25205384615384624,0.16185384615384615,0.1627692307692308,0.18949999999999997,0.18826153846153845,341.0506445640003
contact,22.0,51.923077,21.017094,1.0,51.92,21.02,341.03310778500054,1.0315,348.773415488,0.1375230769230769,0.14005384615384614,0.13340769230769228,0.13410769230769232,0.22729230769230765,0.21719230769230766,0.15733846153846154,0.15578461538461535,0.1368,0.1473153846153846,0.24319999999999997,0.24970769230769224,0.16071538461538462,0.1615076923076923,0.18683846153846156,0.1846692307692308,349.920138724
baseline,23.0,84.74359,26.344729,1.0,84.74,26.34,353.88028677700004,0.0,,0.13606153846153843,0.1387769230769231,0.13306923076923077,0.13354615384615381,0.2299692307692308,0.22014615384615382,0.1581923076923077,0.15683846153846157,0.1376153846153846,0.14486153846153849,0.24011538461538462,0.24699999999999994,0.15806923076923077,0.16026923076923072,0.18425384615384616,0.1825384615384615,354.0319601350002
contact,23.0,84.74359,26.344729,1.0,84.74,26.34,353.88028677700004,1.1957,361.3048139929997,0.13576153846153843,0.13837692307692312,0.1336384615384615,0.13203846153846152,0.2994846153846154,0.2915076923076923,0.14900000000000002,0.14817692307692307,0.11420769230769233,0.12242307692307695,0.25260000000000005,0.2610230769230769,0.15754615384615384,0.15963076923076921,0.18483076923076924,0.18213846153846153,362.4710335420005
baseline,24.0,86.384615,24.589744,3.0,86.38,24.59,364.0958576160001,0.0,,0.13546153846153844,0.13806153846153846,0.1328846153846154,0.13375384615384614,0.3032153846153846,0.2938230769230769,0.16893076923076922,0.1667769230769231,0.14493846153846157,0.1535384615384615,0.24866153846153846,0.2538,0.1580769230769231,0.1601076923076923,0.18417692307692307,0.1809538461538462,364.2020474760002
contact,24.0,86.384615,24.589744,3.0,86.38,24.59,364.0958576160001,3.088,374.88998039499984,0.13472307692307695,0.1373,0.13233076923076925,0.13179999999999997,0.30121538461538466,0.2927461538461538,0.16227692307692307,0.1622384615384615,0.12904615384615384,0.14050769230769236,0.2576461538461538,0.26169999999999993,0.15802307692307688,0.1600461538461538,0.18809999999999996,0.1829769230769231,376.10112992700033
baseline,25.0,63.410256,15.39886,1.0,63.41,15.4,379.4918063650002,0.0,,0.13630769230769232,0.13905384615384617,0.13367692307692305,0.1354230769230769,0.3043307692307693,0.2957153846153846,0.2094076923076923,0.20683076923076923,0.14502307692307695,0.15400769230769226,0.25406153846153845,0.260276923076923,0.16447692307692308,0.1647923076923077,0.18585384615384618,0.1814076923076923,379.56410412400055
contact,25.0,63.410256,15.39886,1.0,63.41,15.4,379.4918063650002,1.0893,386.93843776999984,0.1365692307692308,0.13927692307692308,0.13313846153846154,0.13369230769230767,0.2783692307692308,0.2681307692307693,0.22481538461538456,0.22323846153846152,0.14104615384615385,0.14716923076923077,0.2424615384615385,0.2501538461538461,0.1604923076923077,0.16201538461538462,0.18252307692307695,0.1798076923076923,388.0018574559999
baseline,26.0,111.0,29.0,4.0,111.0,29.0,393.1670371580003,0.0,,0.13526923076923075,0.13725384615384614,0.13311538461538464,0.13236923076923074,0.28060769230769234,0.2721307692307693,0.21823846153846158,0.21575384615384616,0.1381,0.1460923076923077,0.24284615384615388,0.25157692307692303,0.15721538461538462,0.1590230769230769,0.18373076923076928,0.18073076923076925,393.1951169640006
contact,26.0,111.0,29.0,4.0,111.0,29.0,393.1670371580003,4.5139,403.4821019709998,0.13213846153846154,0.1348,0.12970769230769227,0.1318461538461538,0.2817923076923077,0.2719923076923077,0.20360769230769227,0.20136923076923072,0.13916923076923077,0.1468,0.2820923076923077,0.28823076923076923,0.12992307692307692,0.13147692307692305,0.24506923076923076,0.22838461538461535,404.6624650670001
